sampleId	celltype	cell Type Description	cell_lineage	tissue	treatment	immunophenotype	species	strain	sampleCode	RNA.Id	batch	firstPublished	cellOrder
Fob.1	Fob	Follicular B cells	B Cell Lineage	Spleen	none	FSC-lo B220:+ CD21:+ CD23:+	Murine	C57BL/6	GSE60927.SRR1561641	SRR1561641	GSE60927	Shi et al, 2015; 25894659	1
Fob.2	Fob	Follicular B cells	B Cell Lineage	Spleen	none	FSC-lo B220:+ CD21:+ CD23:+	Murine	C57BL/6	GSE60927.SRR1561642	SRR1561642	GSE60927	Shi et al, 2015; 25894659	1
MZB.1	MZB	Marginal zone B cells	B Cell Lineage	Spleen	none	FSC-lo B220:+ CD21:-hi CD23:-	Murine	C57BL/6	GSE60927.SRR1561645	SRR1561645	GSE60927	Shi et al, 2015; 25894659	2
MZB.2	MZB	Marginal zone B cells	B Cell Lineage	Spleen	none	FSC-lo B220:+ CD21:-hi CD23:-	Murine	C57BL/6	GSE60927.SRR1561646	SRR1561646	GSE60927	Shi et al, 2015; 25894659	2
B1Pt.1	B1Pt	Peritoneal B1 cells	B Cell Lineage	Peritoneal lavage	none	B220:+ Mac1:-lo CD23:-	Murine	C57BL/6	GSE60927.SRR1561643	SRR1561643	GSE60927	Shi et al, 2015; 25894659	3
B1Pt.2	B1Pt	Peritoneal B1 cells	B Cell Lineage	Peritoneal lavage	none	B220:+ Mac1:-lo CD23:-	Murine	C57BL/6	GSE60927.SRR1561644	SRR1561644	GSE60927	Shi et al, 2015; 25894659	3
PtB.1	PtB	Total Peritoneal Cavity B Cells	B Cell Lineage	Peritoneal	none	B220/CD19;+, Ter119:-, F4/80:-, Mac-1:-	Murine	C57BL/6	CAGRF9188.1278	1278	CAGRF9188	Marsman et al, 2018; 29870118	4
PtB.2	PtB	Total Peritoneal Cavity B Cells	B Cell Lineage	Peritoneal	none	B220/CD19;+, Ter119:-, F4/80:-, Mac-1:-	Murine	C57BL/6	CAGRF9188.1283	1283	CAGRF9188	Marsman et al, 2018; 29870118	4
GCB.1	GCB	Germinal center B cells	B Cell Lineage	Spleen	none	CD19:+ Fas:+ PNA:+	Murine	C57BL/6	GSE60927.SRR1561647	SRR1561647	GSE60927	Shi et al, 2015; 25894659	5
GCB.2	GCB	Germinal center B cells	B Cell Lineage	Spleen	none	CD19:+ Fas:+ PNA:+	Murine	C57BL/6	GSE60927.SRR1561648	SRR1561648	GSE60927	Shi et al, 2015; 25894659	5
